iter	Passed	Remaining
1170	12831	20042
1171	12841	20029
1172	12852	20019
1173	12861	20004
1174	12871	19992
1175	12885	19985
1176	12898	19977
1177	12911	19969
1178	12920	19956
1179	12932	19946
1180	12942	19934
1181	12953	19924
1182	12963	19910
1183	12973	19898
1184	12985	19889
1185	12994	19875
1186	13006	19866
1187	13015	19852
1188	13025	19839
1189	13034	19825
1190	13046	19816
1191	13059	19808
1192	13068	19794
1193	13078	19782
1194	13091	19773
1195	13101	19761
1196	13114	19753
1197	13127	19745
1198	13137	19734
1199	13149	19723
1200	13158	19709
1201	13169	19699
1202	13181	19690
1203	13191	19678
1204	13201	19665
1205	13213	19656
1206	13226	19648
1207	13237	19636
1208	13248	19626
1209	13260	19616
1210	13273	19609
1211	13283	19597
1212	13294	19585
1213	13306	19575
1214	13318	19566
1215	13329	19556
1216	13336	19538
1217	13346	19527
1218	13359	19518
1219	13368	19505
1220	13377	19491
1221	13386	19477
1222	13400	19471
1223	13411	19459
1224	13423	19450
1225	13435	19441
1226	13448	19432
1227	13458	19420
1228	13467	19406
1229	13479	19397
1230	13489	19385
1231	13501	19375
1232	13508	19358
1233	13519	19348
1234	13528	19334
1235	13537	19319
1236	13547	19308
1237	13560	19300
1238	13570	19288
1239	13583	19279
1240	13595	19270
1241	13607	19260
1242	13617	19249
1243	13628	19237
1244	13639	19227
1245	13652	19219
1246	13661	19204
1247	13674	19196
1248	13682	19181
1249	13694	19171
1250	13700	19154
1251	13712	19144
1252	13723	19134
1253	13736	19126
1254	13749	19117
1255	13758	19103
1256	13771	19096
1257	13782	19084
1258	13792	19072
1259	13804	19063
1260	13814	19051
1261	13827	19042
1262	13835	19028
1263	13842	19011
1264	13854	19002
1265	13864	18989
1266	13872	18974
1267	13880	18959
1268	13892	18950
1269	13903	18939
1270	13913	18927
1271	13925	18917
1272	13935	18904
1273	13947	18895
1274	13957	18883
1275	13969	18874
1276	13979	18862
1277	13993	18854
1278	14003	18843
1279	14014	18832
1280	14027	18824
1281	14038	18813
1282	14051	18804
1283	14060	18790
1284	14070	18778
1285	14082	18769
1286	14092	18756
1287	14102	18745
1288	14113	18734
1289	14121	18719
1290	14130	18705
1291	14143	18697
1292	14149	18680
1293	14163	18672
1294	14174	18661
1295	14185	18651
1296	14197	18642
1297	14209	18632
1298	14219	18619
1299	14230	18609
1300	14240	18596
1301	14250	18584
1302	14263	18576
1303	14276	18567
1304	14287	18557
1305	14297	18545
1306	14308	18534
1307	14318	18522
1308	14328	18509
1309	14340	18500
1310	14351	18489
1311	14359	18474
1312	14368	18460
1313	14376	18446
1314	14385	18432
1315	14395	18421
1316	14407	18411
1317	14418	18400
1318	14430	18390
1319	14440	18378
1320	14452	18369
1321	14464	18359
1322	14477	18350
1323	14489	18341
1324	14497	18326
1325	14509	18316
1326	14519	18305
1327	14532	18296
1328	14547	18290
1329	14559	18281
1330	14572	18273
1331	14580	18259
1332	14590	18245
1333	14601	18235
1334	14614	18227
1335	14626	18217
1336	14640	18210
1337	14653	18202
1338	14664	18191
1339	14677	18182
1340	14691	18175
1341	14701	18162
1342	14711	18151
1343	14721	18138
1344	14731	18126
1345	14742	18115
1346	14753	18104
1347	14765	18094
1348	14776	18084
1349	14790	18077
1350	14804	18069
1351	14819	18064
1352	14837	18061
1353	14864	18069
1354	14878	18062
1355	14896	18060
1356	14907	18049
1357	14919	18040
1358	14931	18029
1359	14940	18016
1360	14952	18006
1361	14962	17995
1362	14971	17981
1363	14982	17970
1364	14996	17963
1365	15009	17954
1366	15020	17943
1367	15031	17932
1368	15042	17921
1369	15052	17909
1370	15063	17898
1371	15075	17888
1372	15088	17879
1373	15101	17871
1374	15115	17863
1375	15129	17855
1376	15140	17845
1377	15155	17839
1378	15169	17831
1379	15181	17822
1380	15192	17811
1381	15204	17800
1382	15219	17794
1383	15229	17782
1384	15242	17773
1385	15253	17763
1386	15266	17754
1387	15277	17742
1388	15290	17734
1389	15298	17720
1390	15310	17709
1391	15321	17699
1392	15333	17688
1393	15342	17675
1394	15354	17665
1395	15368	17658
1396	15380	17648
1397	15389	17635
1398	15402	17626
1399	15412	17614
1400	15424	17604
1401	15436	17594
1402	15449	17585
1403	15460	17574
1404	15471	17564
1405	15483	17554
1406	15494	17543
1407	15507	17533
1408	15519	17523
1409	15528	17511
1410	15544	17505
1411	15556	17495
1412	15566	17483
1413	15578	17473
1414	15589	17462
1415	15602	17453
